+RPKM	percent	accumulative_value
0	0.0	0
0.01	0.0	1
0.06	0.0	3
0.07	0.0	7
0.08	0.1	11
0.09	0.1	15
0.1	0.1	21
0.11	0.1	27
0.12	0.2	41
0.13	0.3	55
0.14	0.3	64
0.15	0.4	81
0.16	0.5	98
0.17	0.6	122
0.18	0.7	148
0.19	0.8	174
0.2	0.9	200
0.21	1.1	241
0.22	1.3	284
0.23	1.5	321
0.24	1.7	355
0.25	1.9	398
0.26	2.0	437
0.27	2.3	489
0.28	2.5	532
0.29	2.7	578
0.3	2.9	619
0.31	3.2	679
0.32	3.4	722
0.33	3.7	783
0.34	4.0	862
0.35	4.3	918
0.36	4.6	984
0.37	4.9	1043
0.38	5.2	1103
0.39	5.4	1155
0.4	5.6	1207
0.41	5.9	1262
0.42	6.2	1323
0.43	6.4	1377
0.44	6.7	1434
0.45	7.0	1499
0.46	7.4	1573
0.47	7.7	1639
0.48	7.9	1695
0.49	8.2	1761
0.5	8.5	1826
0.51	8.9	1912
0.52	9.3	1992
0.53	9.7	2068
0.54	10.0	2132
0.55	10.3	2194
0.56	10.6	2275
0.57	11.0	2354
0.58	11.4	2427
0.59	11.7	2494
0.6	12.0	2560
0.61	12.3	2621
0.62	12.5	2682
0.63	12.8	2745
0.64	13.1	2809
0.65	13.5	2881
0.66	13.9	2963
0.67	14.2	3036
0.68	14.5	3109
0.69	14.9	3176
0.7	15.2	3243
0.71	15.4	3302
0.72	15.8	3387
0.73	16.1	3440
0.74	16.4	3506
0.75	16.7	3574
0.76	17.0	3629
0.77	17.3	3699
0.78	17.7	3778
0.79	18.0	3856
0.8	18.4	3924
0.81	18.7	3997
0.82	19.0	4061
0.83	19.3	4123
0.84	19.5	4180
0.85	19.8	4243
0.86	20.2	4313
0.87	20.5	4378
0.88	20.7	4430
0.89	21.0	4482
0.9	21.2	4542
0.91	21.5	4600
0.92	21.7	4645
0.93	22.0	4708
0.94	22.2	4757
0.95	22.5	4802
0.96	22.7	4847
0.97	23.0	4908
0.98	23.2	4970
0.99	23.6	5041
1.0	23.9	5101
1.01	24.1	5143
1.02	24.2	5184
1.03	24.5	5249
1.04	24.8	5295
1.05	25.0	5356
1.06	25.3	5413
1.07	25.6	5471
1.08	25.9	5533
1.09	26.2	5598
1.1	26.4	5638
1.11	26.6	5689
1.12	26.8	5727
1.13	27.1	5787
1.14	27.3	5844
1.15	27.6	5891
1.16	27.8	5946
1.17	28.1	6011
1.18	28.4	6069
1.19	28.6	6113
1.2	28.9	6177
1.21	29.1	6217
1.22	29.3	6271
1.23	29.6	6327
1.24	29.9	6384
1.25	30.1	6440
1.26	30.4	6499
1.27	30.6	6537
1.28	30.8	6591
1.29	31.1	6652
1.3	31.4	6708
1.31	31.6	6749
1.32	31.8	6794
1.33	32.0	6839
1.34	32.2	6891
1.35	32.4	6926
1.36	32.6	6973
1.37	32.8	7023
1.38	33.2	7089
1.39	33.4	7132
1.4	33.5	7169
1.41	33.8	7226
1.42	34.1	7289
1.43	34.3	7336
1.44	34.5	7381
1.45	34.7	7425
1.46	35.0	7477
1.47	35.2	7534
1.48	35.5	7580
1.49	35.6	7610
1.5	35.8	7652
1.51	36.0	7700
1.52	36.2	7747
1.53	36.5	7794
1.54	36.7	7839
1.55	36.9	7900
1.56	37.1	7940
1.57	37.3	7983
1.58	37.5	8026
1.59	37.7	8070
1.6	38.0	8115
1.61	38.2	8162
1.62	38.3	8190
1.63	38.5	8237
1.64	38.8	8287
1.65	38.9	8320
1.66	39.1	8362
1.67	39.3	8398
1.68	39.4	8432
1.69	39.6	8477
1.7	39.8	8516
1.71	40.0	8555
1.72	40.2	8600
1.73	40.4	8638
1.74	40.6	8674
1.75	40.7	8709
1.76	40.9	8742
1.77	41.2	8799
1.78	41.3	8834
1.79	41.5	8870
1.8	41.7	8913
1.81	41.9	8966
1.82	42.1	9007
1.83	42.4	9060
1.84	42.5	9097
1.85	42.8	9142
1.86	43.0	9185
1.87	43.1	9221
1.88	43.3	9256
1.89	43.5	9291
1.9	43.6	9333
1.91	43.8	9364
1.92	44.0	9398
1.93	44.1	9438
1.94	44.3	9472
1.95	44.4	9499
1.96	44.7	9548
1.97	44.8	9572
1.98	44.9	9611
1.99	45.1	9652
2.0	45.3	9681
2.01	45.5	9721
2.02	45.6	9757
2.03	45.8	9791
2.04	45.9	9825
2.05	46.1	9862
2.06	46.3	9891
2.07	46.4	9923
2.08	46.6	9955
2.09	46.7	9994
2.1	46.9	10033
2.11	47.1	10062
2.12	47.2	10096
2.13	47.4	10138
2.14	47.6	10172
2.15	47.7	10204
2.16	47.9	10241
2.17	48.1	10286
2.18	48.3	10325
2.19	48.4	10355
2.2	48.6	10382
2.21	48.7	10413
2.22	48.8	10444
2.23	48.9	10462
2.24	49.1	10494
2.25	49.3	10532
2.26	49.4	10559
2.27	49.6	10601
2.28	49.8	10639
2.29	49.9	10666
2.3	50.1	10708
2.31	50.2	10733
2.32	50.4	10767
2.33	50.5	10793
2.34	50.7	10838
2.35	50.8	10871
2.36	51.0	10896
2.37	51.1	10932
2.38	51.3	10976
2.39	51.5	11013
2.4	51.7	11050
2.41	51.8	11080
2.42	52.0	11116
2.43	52.1	11135
2.44	52.2	11166
2.45	52.3	11190
2.46	52.5	11234
2.47	52.7	11270
2.48	52.8	11291
2.49	53.0	11328
2.5	53.1	11355
2.51	53.2	11383
2.52	53.4	11410
2.53	53.5	11447
2.54	53.7	11478
2.55	53.9	11516
2.56	54.0	11542
2.57	54.1	11563
2.58	54.2	11592
2.59	54.3	11620
2.6	54.5	11651
2.61	54.6	11681
2.62	54.7	11704
2.63	54.8	11723
2.64	55.0	11752
2.65	55.1	11775
2.66	55.2	11801
2.67	55.4	11835
2.68	55.4	11854
2.69	55.5	11877
2.7	55.7	11901
2.71	55.8	11938
2.72	56.0	11970
2.73	56.1	11992
2.74	56.2	12023
2.75	56.4	12052
2.76	56.5	12083
2.77	56.6	12102
2.78	56.7	12128
2.79	56.9	12165
2.8	57.0	12195
2.81	57.1	12212
2.82	57.2	12241
2.83	57.4	12266
2.84	57.5	12297
2.85	57.7	12328
2.86	57.8	12355
2.87	57.9	12371
2.88	58.0	12394
2.89	58.1	12416
2.9	58.2	12446
2.91	58.3	12470
2.92	58.4	12492
2.93	58.6	12522
2.94	58.7	12550
2.95	58.8	12575
2.96	58.9	12604
2.97	59.1	12632
2.98	59.2	12653
2.99	59.3	12674
3.0	59.4	12699
3.01	59.5	12727
3.02	59.6	12750
3.03	59.8	12777
3.04	59.9	12806
3.05	60.0	12825
3.06	60.0	12836
3.07	60.2	12868
3.08	60.3	12883
3.09	60.4	12907
3.1	60.5	12926
3.11	60.6	12954
3.12	60.7	12977
3.13	60.8	12996
3.14	60.8	13006
3.15	60.9	13027
3.16	61.0	13045
3.17	61.1	13056
