+loci	sumCoverage
0	5492
1	10498
2	12901
3	18300
4	12943
5	7011
6	9848
7	9868
8	6969
9	4023
10	3177
11	2445
12	2387
13	2276
14	2976
15	3948
16	4549
17	2777
18	2016
19	2325
20	2181
21	1866
22	2429
23	2546
24	3198
25	4520
26	4807
27	3684
28	3596
29	4881
30	4364
31	3702
32	4035
33	3826
34	3439
35	3118
36	2505
37	2705
38	2785
39	2806
40	2455
41	3240
42	3322
43	2835
44	3320
45	4046
46	4607
47	3534
48	3238
49	2747
50	3136
51	4027
52	5978
53	11070
54	11462
55	10036
56	4751
57	5402
58	5273
59	5160
60	5721
61	6012
62	6266
63	5788
64	5347
65	7775
66	13565
67	16346
68	7281
69	7414
70	23585
71	16215
72	8781
73	8084
74	12819
75	11554
76	7877
77	6755
78	8372
79	13572
80	11107
81	7553
82	6735
83	8378
84	9556
85	9072
86	43261
87	50202
88	15841
89	8202
90	8310
91	7712
92	16598
93	26539
94	23999
95	16681
96	16661
97	12156
98	8631
99	5541
