+loci	sumCoverage
0	12122
1	25627
2	34279
3	42776
4	34055
5	21314
6	23889
7	24583
8	19818
9	14867
10	13334
11	12300
12	11393
13	10190
14	11221
15	13447
16	15334
17	15351
18	14033
19	10567
20	9081
21	8492
22	9687
23	10041
24	11254
25	14823
26	14249
27	12174
28	11686
29	18956
30	15192
31	20700
32	17815
33	10397
34	9522
35	10441
36	10838
37	9660
38	21637
39	33503
40	10087
41	12467
42	12671
43	10670
44	13881
45	10775
46	10085
47	11138
48	9952
49	9320
50	11622
51	14883
52	17445
53	28226
54	30745
55	49324
56	24791
57	15069
58	15214
59	15926
60	16296
61	16062
62	16161
63	15578
64	14283
65	18489
66	31353
67	37969
68	20162
69	19672
70	51583
71	37117
72	21398
73	20767
74	28086
75	25212
76	18469
77	16940
78	22407
79	31377
80	27290
81	18196
82	18451
83	21844
84	24554
85	22638
86	86456
87	101147
88	36754
89	21199
90	19983
91	18073
92	30790
93	55674
94	52488
95	37285
96	36434
97	24120
98	18565
99	11705
