+RPKM	percent	accumulative_value
0	0.0	0
0.27	0.0	1
0.28	0.0	2
0.31	0.0	3
0.4	0.0	4
0.47	0.0	5
0.49	0.1	6
0.52	0.1	9
0.53	0.1	10
0.54	0.1	12
0.55	0.1	13
0.57	0.1	15
0.58	0.2	17
0.6	0.2	19
0.61	0.2	20
0.62	0.2	22
0.63	0.2	24
0.64	0.2	26
0.66	0.3	33
0.7	0.3	35
0.71	0.3	36
0.72	0.4	39
0.73	0.4	42
0.74	0.4	45
0.75	0.4	47
0.76	0.5	51
0.77	0.5	54
0.8	0.6	58
0.81	0.6	62
0.82	0.6	66
0.83	0.7	70
0.84	0.7	74
0.85	0.8	80
0.86	0.8	84
0.87	0.9	90
0.88	0.9	93
0.89	0.9	98
0.9	1.0	106
0.91	1.0	109
0.92	1.1	114
0.93	1.1	115
0.94	1.2	122
0.95	1.2	124
0.96	1.2	128
0.97	1.3	133
0.98	1.3	139
0.99	1.4	145
1.0	1.4	148
1.01	1.5	154
1.02	1.5	161
1.03	1.6	163
1.04	1.6	168
1.05	1.7	179
1.06	1.8	185
1.07	1.8	192
1.08	1.9	199
1.09	1.9	202
1.1	2.0	205
1.11	2.0	212
1.12	2.1	216
1.13	2.1	223
1.14	2.2	229
1.15	2.3	237
1.16	2.3	246
1.17	2.4	254
1.18	2.5	258
1.19	2.6	270
1.2	2.7	279
1.21	2.7	286
1.22	2.7	288
1.23	2.9	300
1.24	2.9	306
1.25	3.0	313
1.26	3.1	321
1.27	3.1	326
1.28	3.2	336
1.29	3.3	344
1.3	3.3	350
1.31	3.4	361
1.32	3.5	371
1.33	3.6	381
1.34	3.7	392
1.35	3.8	399
1.36	3.9	405
1.37	3.9	411
1.38	4.0	423
1.39	4.1	435
1.4	4.2	441
1.41	4.3	449
1.42	4.4	458
1.43	4.5	469
1.44	4.6	479
1.45	4.7	491
1.46	4.8	500
1.47	4.9	511
1.48	4.9	519
1.49	5.0	530
1.5	5.1	537
1.51	5.2	541
1.52	5.3	555
1.53	5.4	568
1.54	5.5	576
1.55	5.6	588
1.56	5.7	598
1.57	5.8	609
1.58	5.9	615
1.59	5.9	624
1.6	6.0	630
1.61	6.1	637
1.62	6.2	646
1.63	6.2	655
1.64	6.4	668
1.65	6.4	674
1.66	6.5	681
1.67	6.6	693
1.68	6.7	699
1.69	6.7	707
1.7	6.9	721
1.71	7.0	730
1.72	7.0	738
1.73	7.1	745
1.74	7.2	752
1.75	7.3	768
1.76	7.4	779
1.77	7.5	786
1.78	7.6	800
1.79	7.7	812
1.8	7.8	817
1.81	7.8	822
1.82	7.9	831
1.83	8.1	848
1.84	8.1	853
1.85	8.3	867
1.86	8.3	876
1.87	8.5	888
1.88	8.5	897
1.89	8.6	905
1.9	8.7	914
1.91	8.8	922
1.92	8.9	936
1.93	9.0	942
1.94	9.1	952
1.95	9.2	964
1.96	9.3	972
1.97	9.3	979
1.98	9.4	989
1.99	9.5	997
2.0	9.6	1007
2.01	9.7	1022
2.02	9.9	1036
2.03	9.9	1043
2.04	10.0	1052
2.05	10.1	1063
2.06	10.2	1073
2.07	10.4	1089
2.08	10.5	1099
2.09	10.6	1108
2.1	10.6	1112
2.11	10.7	1121
2.12	10.8	1131
2.13	10.9	1142
2.14	11.0	1151
2.15	11.1	1170
2.16	11.2	1174
2.17	11.3	1186
2.18	11.4	1198
2.19	11.5	1209
2.2	11.6	1221
2.21	11.7	1231
2.22	11.8	1242
2.23	11.9	1250
2.24	12.0	1261
2.25	12.1	1269
2.26	12.2	1280
2.27	12.3	1291
2.28	12.4	1306
2.29	12.5	1317
2.3	12.6	1326
2.31	12.7	1338
2.32	12.8	1346
2.33	12.9	1351
2.34	13.0	1361
2.35	13.1	1373
2.36	13.2	1385
2.37	13.2	1391
2.38	13.3	1400
2.39	13.4	1410
2.4	13.5	1422
2.41	13.6	1433
2.42	13.8	1446
2.43	13.9	1456
2.44	13.9	1463
2.45	14.0	1467
2.46	14.0	1471
2.47	14.2	1490
2.48	14.2	1496
2.49	14.4	1512
2.5	14.5	1521
2.51	14.6	1530
2.52	14.7	1540
2.53	14.8	1554
2.54	14.9	1569
2.55	15.1	1581
2.56	15.2	1593
2.57	15.3	1608
2.58	15.4	1621
2.59	15.6	1634
2.6	15.7	1648
2.61	15.8	1660
2.62	15.9	1670
2.63	16.0	1680
2.64	16.1	1690
2.65	16.2	1704
2.66	16.3	1714
2.67	16.5	1732
2.68	16.6	1747
2.69	16.7	1754
2.7	16.8	1767
2.71	16.9	1777
2.72	17.1	1794
2.73	17.2	1804
2.74	17.2	1811
2.75	17.4	1827
2.76	17.5	1841
2.77	17.7	1854
2.78	17.7	1862
2.79	17.8	1869
2.8	17.9	1881
2.81	18.0	1890
2.82	18.1	1897
2.83	18.2	1911
2.84	18.3	1922
2.85	18.4	1934
2.86	18.5	1946
