+loci	sumCoverage
0	962
1	1086
2	1224
3	1302
4	1200
5	1212
6	1423
7	1550
8	1531
9	1250
10	1212
11	1181
12	1158
13	1197
14	1281
15	1319
16	1373
17	1269
18	1243
19	1344
20	1424
21	1341
22	1308
23	1404
24	1386
25	1477
26	1588
27	1525
28	1587
29	1560
30	1537
31	1421
32	1574
33	1461
34	1532
35	1502
36	1531
37	1460
38	1543
39	1573
40	1511
41	1532
42	1553
43	1380
44	1384
45	1372
46	1404
47	1463
48	1347
49	1191
50	1210
51	1131
52	1212
53	1272
54	1377
55	1256
56	1148
57	1239
58	1102
59	1237
60	1262
61	1393
62	1340
63	1425
64	1303
65	1508
66	1584
67	1980
68	1465
69	1579
70	1840
71	1574
72	1478
73	1502
74	1795
75	1759
76	1576
77	1450
78	1452
79	1697
80	1813
81	1655
82	1477
83	1549
84	1558
85	1755
86	2601
87	3189
88	1969
89	1666
90	1653
91	1617
92	2440
93	2764
94	2809
95	2079
96	1848
97	1640
98	1158
99	805
