+loci	sumCoverage
0	1194
1	2102
2	2363
3	2599
4	2122
5	1631
6	1822
7	1879
8	1674
9	1338
10	1113
11	1117
12	1049
13	1048
14	1081
15	1307
16	1567
17	1466
18	1320
19	1282
20	1107
21	1044
22	1133
23	1215
24	1277
25	1604
26	1585
27	1641
28	1435
29	1942
30	1843
31	2702
32	2282
33	1376
34	1435
35	1462
36	1479
37	1467
38	2297
39	3431
40	1424
41	1648
42	1684
43	1523
44	1749
45	1366
46	1364
47	1467
48	1412
49	1330
50	1651
51	1778
52	1810
53	2330
54	2688
55	5260
56	3078
57	1893
58	2263
59	2764
60	3034
61	2827
62	3458
63	2847
64	2582
65	3071
66	3502
67	4296
68	3500
69	2964
70	4115
71	3086
72	2786
73	2745
74	3728
75	4005
76	2697
77	2496
78	2650
79	3109
80	3435
81	3330
82	2598
83	3164
84	3193
85	2923
86	7221
87	9141
88	4181
89	2789
90	2997
91	2542
92	4252
93	6971
94	6341
95	4805
96	4027
97	3026
98	2371
99	1743
