+Length	percent	accumulative_value
0	0.0	0
3	0.0	3
4	0.1	6
5	0.1	7
6	0.1	9
7	0.1	14
8	0.2	18
9	0.3	28
10	0.3	33
11	0.4	40
12	0.5	48
13	0.6	57
14	0.7	70
15	0.8	78
16	0.8	84
17	1.0	100
18	1.2	116
19	1.6	159
20	2.7	267
21	3.7	371
22	5.0	504
23	6.5	655
24	7.9	787
25	8.6	863
26	9.4	939
27	10.2	1025
28	10.9	1095
29	11.6	1157
30	12.3	1236
31	13.1	1317
32	14.1	1413
33	15.1	1517
34	16.2	1627
35	17.3	1736
36	18.7	1874
37	20.0	2001
38	21.1	2116
39	22.6	2267
40	24.1	2419
41	25.8	2586
42	27.4	2742
43	28.8	2882
44	30.2	3030
45	31.7	3175
46	33.3	3332
47	35.2	3523
48	36.5	3652
49	37.9	3792
50	39.3	3941
51	40.9	4093
52	42.1	4220
53	43.4	4352
54	44.7	4475
55	46.1	4616
56	47.3	4740
57	48.6	4864
58	49.9	5000
59	51.1	5119
60	52.2	5225
61	53.3	5337
62	54.5	5463
63	55.6	5570
64	56.9	5695
65	58.0	5811
66	59.2	5927
67	60.2	6028
68	61.2	6135
69	62.2	6231
70	63.3	6337
71	64.0	6415
72	65.1	6523
73	66.1	6620
74	67.0	6707
75	67.8	6788
76	68.6	6873
77	69.5	6962
78	70.3	7042
79	71.2	7128
80	71.8	7190
81	72.4	7254
82	73.1	7318
83	73.8	7396
84	74.4	7457
85	75.2	7534
86	75.8	7593
87	76.3	7642
88	76.9	7704
89	77.6	7770
90	78.0	7817
91	78.5	7866
92	79.0	7917
93	79.6	7978
94	80.1	8025
95	80.6	8072
96	81.1	8119
97	81.5	8159
98	81.9	8201
99	82.3	8241
100	82.6	8276
101	83.0	8317
102	83.4	8356
103	83.7	8389
104	84.1	8423
105	84.4	8458
106	84.9	8500
107	85.3	8542
108	85.6	8573
109	86.0	8616
110	86.4	8650
111	86.7	8681
112	87.0	8710
113	87.3	8743
114	87.5	8769
115	87.9	8804
116	88.1	8829
117	88.4	8852
118	88.6	8880
119	88.9	8909
120	89.1	8930
121	89.5	8962
122	89.7	8983
123	89.9	9007
124	90.1	9028
125	90.4	9053
126	90.6	9080
127	90.9	9101
128	91.0	9118
129	91.3	9141
130	91.5	9163
131	91.6	9180
132	91.8	9196
133	92.0	9217
134	92.2	9237
135	92.4	9257
136	92.5	9270
137	92.8	9293
138	92.9	9309
139	93.1	9324
140	93.2	9338
141	93.3	9350
142	93.5	9364
143	93.6	9377
144	93.8	9391
145	93.9	9402
146	94.0	9418
147	94.1	9426
148	94.3	9446
149	94.4	9457
150	94.5	9471
151	94.6	9481
152	94.7	9487
153	94.8	9492
154	94.8	9500
155	94.9	9508
156	95.0	9519
157	95.1	9524
158	95.2	9537
159	95.3	9544
160	95.4	9553
161	95.4	9559
162	95.5	9567
163	95.6	9581
164	95.7	9591
165	95.8	9596
166	95.9	9605
167	96.0	9616
168	96.1	9623
169	96.1	9629
170	96.2	9635
171	96.3	9643
172	96.3	9649
173	96.4	9656
174	96.5	9662
175	96.5	9668
176	96.6	9680
177	96.7	9689
178	96.8	9693
179	96.8	9697
180	96.9	9705
181	97.0	9712
182	97.0	9720
183	97.1	9729
184	97.2	9738
185	97.3	9742
186	97.3	9746
187	97.3	9749
188	97.4	9757
189	97.5	9765
190	97.5	9770
191	97.6	9775
192	97.6	9777
193	97.6	9779
194	97.6	9780
195	97.7	9784
196	97.7	9791
197	97.8	9793
198	97.8	9795
199	97.8	9799
200	97.8	9801
201	97.9	9806
202	97.9	9809
203	98.0	9813
204	98.0	9814
205	98.0	9815
206	98.0	9817
207	98.0	9821
208	98.1	9826
209	98.1	9829
211	98.1	9831
212	98.2	9834
213	98.2	9837
214	98.2	9838
215	98.2	9839
216	98.3	9844
217	98.3	9845
218	98.3	9848
219	98.3	9851
220	98.4	9853
221	98.4	9857
222	98.4	9860
223	98.4	9861
224	98.5	9864
227	98.5	9869
229	98.6	9873
231	98.6	9874
232	98.6	9877
234	98.6	9878
235	98.6	9879
236	98.6	9881
237	98.7	9882
239	98.7	9885
240	98.7	9886
241	98.7	9887
242	98.7	9890
243	98.8	9893
244	98.8	9899
245	98.8	9901
246	98.9	9903
247	98.9	9905
248	98.9	9906
249	98.9	9908
250	98.9	9910
251	98.9	9911
253	99.0	9913
257	99.0	9915
259	99.0	9917
260	99.0	9919
261	99.0	9920
262	99.1	9922
264	99.1	9925
265	99.1	9927
266	99.1	9931
267	99.2	9933
268	99.2	9934
271	99.2	9935
273	99.2	9936
274	99.2	9938
275	99.2	9939
276	99.2	9940
278	99.2	9941
281	99.3	9942
284	99.3	9943
285	99.3	9945
286	99.3	9947
287	99.3	9948
289	99.3	9951
292	99.4	9952
293	99.4	9953
296	99.4	9955
299	99.4	9956
300	99.4	9957
303	99.4	9959
308	99.5	9962
310	99.5	9964
312	99.5	9965
315	99.5	9966
318	99.5	9967
319	99.5	9969
320	99.5	9970
321	99.6	9972
322	99.6	9973
323	99.6	9974
326	99.6	9975
333	99.6	9976
335	99.6	9977
345	99.6	9979
346	99.6	9981
348	99.7	9982
361	99.7	9983
362	99.7	9984
366	99.7	9985
370	99.7	9986
371	99.7	9987
373	99.7	9988
375	99.7	9989
376	99.7	9990
381	99.8	9992
386	99.8	9993
391	99.8	9994
398	99.8	9995
404	99.8	9997
416	99.8	9998
438	99.8	9999
439	99.8	10000
446	99.8	10001
453	99.9	10002
457	99.9	10003
519	99.9	10004
531	99.9	10005
541	99.9	10006
562	99.9	10007
565	99.9	10008
568	99.9	10009
600	99.9	10010
629	99.9	10011
666	100.0	10012
782	100.0	10013
839	100.0	10014
873	100.0	10015
1342	100.0	10016
1415	100.0	10017
