+distance	density
-50	7871
-49	8092
-48	8206
-47	8396
-46	8531
-45	8703
-44	8848
-43	9006
-42	9142
-41	9312
-40	9518
-39	9790
-38	10014
-37	10238
-36	10546
-35	10925
-34	11333
-33	11791
-32	12314
-31	12970
-30	13731
-29	14550
-28	15485
-27	16480
-26	17541
-25	18787
-24	20174
-23	21619
-22	23304
-21	25257
-20	27490
-19	29813
-18	32316
-17	34901
-16	37021
-15	38972
-14	40803
-13	42628
-12	44505
-11	46337
-10	48124
-9	49921
-8	51578
-7	53336
-6	55090
-5	56802
-4	58698
-3	60902
-2	63655
-1	67306
0	67538
1	64287
2	61630
3	59451
4	57420
5	55442
6	53491
7	51599
8	49707
9	47901
10	46100
11	44370
12	42548
13	40877
14	39064
15	37126
16	34982
17	32691
18	30321
19	28042
20	25909
21	23959
22	22241
23	20554
24	19124
25	17880
26	16687
27	15599
28	14663
29	13845
30	13178
31	12516
32	12010
33	11489
34	11050
35	10683
36	10384
37	10038
38	9766
39	9500
40	9256
41	9000
42	8773
43	8586
44	8417
45	8240
46	8062
47	7920
48	7832
49	7571
