Gene	Eif3b_1	Eif3b_2	IgG_1	IgG_2	Symbol	Chr	GeneType	Description
ENSG00000225538.1	2.86	0.0	0.0	0.0	OR5BE1P	chr11	unprocessed_pseudogene	olfactory receptor, family 5, subfamily BE, member 1 pseudogene
ENSG00000164054.15	11.33	8.55	11.85	6.98	SHISA5	chr3	protein_coding	shisa family member 5
ENSG00000140830.8	0.45	1.48	13.54	2.66	TXNL4B	chr16	protein_coding	thioredoxin-like 4B
ENSG00000204444.10	0.0	0.82	0.0	0.0	APOM	chr6	protein_coding	apolipoprotein M
ENSG00000254903.1	0.0	0.72	0.0	0.0	OR8L1P	chr11	unprocessed_pseudogene	olfactory receptor, family 8, subfamily L, member 1 pseudogene
ENSG00000235927.4	1.17	0.6	10.67	0.0	NEXN-AS1	chr1	antisense	NEXN antisense RNA 1
ENSG00000163249.9	6.11	7.39	1.85	5.46	CCNYL1	chr2	protein_coding	cyclin Y-like 1
ENSG00000265808.3	3.3	2.22	4.71	3.47	SEC22B	chr1	protein_coding	SEC22 vesicle trafficking protein homolog B (S. cerevisiae) (gene/pseudogene)
ENSG00000233664.1	2.09	0.0	0.0	0.0	NDUFS5P3	chr1	processed_pseudogene	NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase) pseudogene 3
ENSG00000272370.1	2.61	0.0	0.0	0.0	RP11-307L14.1	chr5	lincRNA		--
ENSG00000197008.9	0.47	1.2	0.0	1.4	ZNF138	chr7	protein_coding	zinc finger protein 138
ENSG00000180881.19	0.0	0.34	0.0	0.0	CAPS2	chr12	protein_coding	calcyphosine 2
ENSG00000163904.12	2.47	2.87	2.85	1.4	SENP2	chr3	protein_coding	SUMO1/sentrin/SMT3 specific peptidase 2
ENSG00000135638.13	3.6	3.32	0.0	4.02	EMX1	chr2	protein_coding	empty spiracles homeobox 1
ENSG00000185710.9	0.27	0.0	0.0	0.0	SMG1P4	chr16	transcribed_unprocessed_pseudogene	SMG1 pseudogene 4
ENSG00000254673.1	6.47	0.55	0.0	0.0	RP11-598P20.5	chr8	protein_coding		--
ENSG00000100603.13	153.03	143.27	203.58	217.59	SNW1	chr14	protein_coding	SNW domain containing 1
ENSG00000165480.15	1.38	1.64	8.38	8.22	SKA3	chr13	protein_coding	spindle and kinetochore associated complex subunit 3
ENSG00000261014.1	0.0	0.0	0.0	18.06	RP11-370P15.2	chr16	lincRNA		--
ENSG00000254209.1	0.0	1.65	0.0	0.0	RP11-3G20.1	chr8	lincRNA		--
ENSG00000009413.15	4.42	3.86	1.45	5.69	REV3L	chr6	protein_coding	REV3-like, polymerase (DNA directed), zeta, catalytic subunit
ENSG00000227001.3	0.0	1.03	0.0	0.0	NBPF2P	chr1	unprocessed_pseudogene	neuroblastoma breakpoint family, member 2, pseudogene
ENSG00000224186.8	3.11	3.6	0.0	1.28	C5orf66	chr5	antisense	chromosome 5 open reading frame 66
ENSG00000184988.8	1.63	1.46	0.0	3.65	TMEM106A	chr17	protein_coding	transmembrane protein 106A
ENSG00000261118.1	3.86	2.62	0.0	0.0	RP11-104N10.1	chr16	antisense		--
ENSG00000249199.1	0.0	4.8	28.61	140.37	CTD-2139B15.5	chr5	lincRNA		--
ENSG00000087274.16	8.56	7.15	8.12	4.78	ADD1	chr4	protein_coding	adducin 1 (alpha)
ENSG00000251569.1	0.0	0.35	0.0	4.13	RP11-724O16.1	chr2	protein_coding		--
ENSG00000269711.1	3.46	25.96	10.49	10.3	CTD-3214H19.16	chr19	protein_coding		--
ENSG00000226996.5	0.0	1.61	19.25	4.72	AP000477.3	chr21	lincRNA		--
ENSG00000173976.15	0.56	1.13	0.0	0.0	RAX2	chr19	protein_coding	retina and anterior neural fold homeobox 2
ENSG00000094880.10	3.16	4.91	0.0	1.04	CDC23	chr5	protein_coding	cell division cycle 23
ENSG00000174175.16	0.4	0.93	2.46	0.0	SELP	chr1	protein_coding	selectin P (granule membrane protein 140kDa, antigen CD62)
ENSG00000106624.8	0.63	0.4	0.0	2.8	AEBP1	chr7	protein_coding	AE binding protein 1
ENSG00000273712.1	0.0	2.52	0.0	0.0	RP5-874C20.7	chr6	processed_pseudogene		--
ENSG00000197467.13	4.78	1.88	0.0	2.59	COL13A1	chr10	protein_coding	collagen, type XIII, alpha 1
ENSG00000163626.16	1.77	1.85	2.38	0.0	COX18	chr4	protein_coding	COX18 cytochrome c oxidase assembly factor
ENSG00000111775.2	43.45	54.39	42.77	48.96	COX6A1	chr12	protein_coding	cytochrome c oxidase subunit VIa polypeptide 1
ENSG00000270689.1	0.9	0.0	0.0	0.0	BUD13P1	chr11	processed_pseudogene	BUD13 homolog (S. cerevisiae) pseudogene 1
ENSG00000265675.2	0.0	1.14	0.0	0.0	RN7SL708P	chr19	misc_RNA	RNA, 7SL, cytoplasmic 708, pseudogene
