#Chr	Start	End	PeakID	Tags	Strand	Length	maxHeight	Summit
chr1	496289	496351	chr1_380489	6	-	63	5	496290
chr1	630900	630958	chr1_380491	27	-	59	18	630929
chr1	913910	913943	chr1_358218	4	+	34	4	913916
chr1	998981	999100	chr1_380587	13	-	120	7	999041
chr1	999531	999580	chr1_380593	5	-	50	5	999552
chr1	999703	999793	chr1_380595	7	-	91	5	999772
chr1	1049348	1049439	chr1_358412	9	+	92	5	1049377
chr1	1113893	1113922	chr1_380655	4	-	30	4	1113894
chr1	1218045	1218066	chr1_358459	5	+	22	5	1218046
chr1	1233292	1233338	chr1_358464	4	+	47	4	1233306
chr1	1234026	1234074	chr1_358467	4	+	49	4	1234039
chr1	1756894	1756942	chr1_381090	4	-	49	4	1756904
chr1	2194035	2194072	chr1_381235	5	-	38	5	2194039
chr1	2520768	2520822	chr1_381284	4	-	55	4	2520791
chr1	3642013	3642035	chr1_381363	4	-	23	4	3642015
chr1	7965324	7965425	chr1_359547	5	+	102	5	7965367
chr1	7984921	7985069	chr1_359553	6	+	149	4	7984998
chr1	8863234	8863323	chr1_382014	17	-	90	10	8863252
chr1	8863890	8864092	chr1_382016	27	-	203	14	8863966
chr1	8866288	8866501	chr1_382022	10	-	214	8	8866498
chr1	8867116	8867271	chr1_382023	25	-	156	11	8867126
chr1	8878579	8878686	chr1_382059	28	-	108	12	8878599
chr1	9040612	9040631	chr1_382063	5	-	20	5	9040614
chr1	9744484	9744524	chr1_382153	6	-	41	6	9744489
chr1	10463535	10463610	chr1_382252	6	-	76	5	10463576
chr1	11055050	11055084	chr1_382338	5	-	35	5	11055059
chr1	11059294	11059334	chr1_382349	6	-	41	6	11059312
chr1	11838404	11838442	chr1_360067	4	+	39	4	11838426
chr1	11838534	11838561	chr1_360068	4	+	28	4	11838534
chr1	14822935	14822957	chr1_382589	5	-	23	5	14822939
chr1	15239724	15239746	chr1_382594	4	-	23	4	15239726
chr1	15492742	15492791	chr1_382610	4	-	50	4	15492753
chr1	15931281	15931363	chr1_360850	9	+	83	6	15931315
chr1	15932770	15932807	chr1_360868	5	+	38	5	15932784
chr1	15932808	15932901	chr1_360869	9	+	94	6	15932840
chr1	15932995	15933073	chr1_360871	8	+	79	6	15933042
chr1	15934690	15934733	chr1_360896	5	+	44	5	15934693
chr1	15935736	15935836	chr1_360904	9	+	101	5	15935791
chr1	16678297	16678347	chr1_382822	5	-	51	5	16678321
chr1	17407202	17407287	chr1_382906	7	-	86	5	17407251
chr1	19084656	19084698	chr1_382994	5	-	43	5	19084669
chr1	19657138	19657191	chr1_361177	5	+	54	4	19657166
chr1	20115687	20115711	chr1_383365	4	-	25	4	20115689
chr1	20652218	20652252	chr1_383391	6	-	35	6	20652227
chr1	20652436	20652528	chr1_383393	9	-	93	6	20652516
chr1	20652620	20652676	chr1_383394	8	-	57	5	20652620
chr1	20655479	20655515	chr1_383405	5	-	37	5	20655494
chr1	21176303	21176354	chr1_383717	9	-	52	8	21176326
chr1	22517500	22517522	chr1_361391	5	+	23	5	22517503
chr1	23019787	23019812	chr1_383965	6	-	26	6	23019793
chr1	23756377	23756385	chr1_384159	6	-	9	6	23756379
chr1	23756952	23756964	chr1_384160	6	-	13	6	23756952
chr1	23599460	23599486	chr1_361578	2	+	27	2	23599461
chr1	25904672	25904737	chr1_384356	5	-	66	4	25904689
chr1	26473274	26473317	chr1_362073	4	+	44	4	26473293
chr1	26826852	26826875	chr1_362211	4	+	24	4	26826857
chr1	27834400	27834485	chr1_362358	15	+	86	7	27834412
chr1	27834528	27834566	chr1_362360	6	+	39	6	27834546
chr1	28236360	28236439	chr1_362411	11	+	80	6	28236367
chr1	28508546	28508740	chr1_362561	101	+	195	62	28508665
chr1	28578755	28578820	chr1_384724	21	-	66	14	28578774
chr1	28579760	28579894	chr1_384727	43	-	135	16	28579870
chr1	28580377	28580512	chr1_384729	65	-	136	25	28580484
chr1	28580919	28580992	chr1_384732	30	-	74	22	28580968
chr1	28982604	28982641	chr1_384762	5	-	38	5	28982620
chr1	29280041	29280088	chr1_362906	5	+	48	5	29280067
chr1	29317817	29317865	chr1_362955	5	+	49	5	29317833
chr1	30968164	30968234	chr1_385024	33	-	71	29	30968185
chr1	31919483	31919536	chr1_385284	5	-	54	4	31919499
chr1	32014269	32014377	chr1_363111	10	+	109	6	32014296
chr1	32030297	32030422	chr1_363136	8	+	126	5	32030388
chr1	32031523	32031640	chr1_363137	6	+	118	5	32031538
chr1	32037897	32037942	chr1_363148	6	+	46	6	32037912
chr1	32222587	32222628	chr1_363351	5	+	42	5	32222601
chr1	32334563	32334613	chr1_385351	5	-	51	5	32334581
chr1	32336169	32336214	chr1_385361	11	-	46	11	32336183
chr1	32367133	32367174	chr1_385403	7	-	42	7	32367143
chr1	33036795	33036860	chr1_385640	5	-	66	5	33036833
chr1	35192315	35192420	chr1_385884	11	-	106	7	35192361
chr1	35192893	35192966	chr1_385890	16	-	74	10	35192937
chr1	35193005	35193055	chr1_385892	7	-	51	6	35193029
chr1	37482876	37482896	chr1_386145	4	-	21	4	37482877
chr1	38004207	38004228	chr1_364239	4	+	22	4	38004208
chr1	39349543	39349589	chr1_364382	5	+	47	5	39349567
chr1	39576165	39576237	chr1_386388	9	-	73	6	39576186
chr1	39576355	39576386	chr1_386391	6	-	32	6	39576367
chr1	42313713	42313740	chr1_364854	4	+	28	4	42313718
chr1	42682432	42682492	chr1_364893	8	+	61	6	42682451
chr1	42682507	42682591	chr1_364894	13	+	85	6	42682562
chr1	42929979	42930035	chr1_386820	8	-	57	5	42929992
chr1	43531040	43531097	chr1_365070	9	+	58	8	43531076
chr1	43553543	43553595	chr1_365082	6	+	53	5	43553569
chr1	43590971	43591107	chr1_365141	11	+	137	5	43590992
