#Chr	Start	End	PeakID	Tags	Strand	Length	maxHeight	Summit	regionInfo	GeneID	Symbol	Chr	GeneType	Description
chr20	646989	647035	chr20_478578	5	-	47	5	647014	three_prime_UTR:1.0;	ENSG00000271303.1	SRXN1	chr20	protein_coding	sulfiredoxin 1
chr20	29299448	29299649	chr20_481774	67	-	202	43	29299572	intergenic;	--
chr20	17621486	17621547	chr20_480390	10	-	62	5	17621515	CDS:1.0;	ENSG00000125844.15	RRBP1	chr20	protein_coding	ribosome binding protein 1
chr20	41163961	41164006	chr20_473858	8	+	46	5	41163981	CDS:1.0;	ENSG00000124181.14	PLCG1	chr20	protein_coding	phospholipase C, gamma 1
chr20	31527523	31527572	chr20_470991	6	+	50	5	31527551	CDS:1.0;	ENSG00000101294.16	HM13	chr20	protein_coding	histocompatibility (minor) 13
chr20	17962708	17962946	chr20_480594	153	-	239	42	17962899	intron:1.0;	ENSG00000089006.16	SNX5	chr20	protein_coding	sorting nexin 5
chr20	2663659	2663699	chr20_478892	5	-	41	5	2663661	CDS:1.0;	ENSG00000101365.20	IDH3B	chr20	protein_coding	isocitrate dehydrogenase 3 (NAD+) beta
chr20	62309345	62309404	chr20_487655	7	-	60	6	62309379	CDS:1.0;	ENSG00000130702.13	LAMA5	chr20	protein_coding	laminin, alpha 5
chr20	63495046	63495101	chr20_488389	7	-	56	5	63495097	CDS:1.0;	ENSG00000101210.10	EEF1A2	chr20	protein_coding	eukaryotic translation elongation factor 1 alpha 2
chr20	45892867	45892880	chr20_474843	5	+	14	5	45892871	CDS:1.0;	ENSG00000064601.16	CTSA	chr20	protein_coding	cathepsin A
chr20	37207381	37207437	chr20_473082	11	+	57	11	37207404	CDS:1.0;	ENSG00000118705.16	RPN2	chr20	protein_coding	ribophorin II
chr20	31551924	31552056	chr20_471088	14	+	133	12	31551939	intron:1.0;	ENSG00000101294.16	HM13	chr20	protein_coding	histocompatibility (minor) 13
chr20	56395654	56395709	chr20_476098	4	+	56	4	56395689	CDS:1.0;	ENSG00000101138.11	CSTF1	chr20	protein_coding	cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa
chr20	30514059	30514123	chr20_481825	45	-	65	44	30514090	intergenic;	--
chr20	50081542	50081591	chr20_485984	7	-	50	6	50081557	three_prime_UTR:1.0;	ENSG00000244687.11	UBE2V1	chr20	protein_coding	ubiquitin-conjugating enzyme E2 variant 1
chr20	2470677	2470778	chr20_478836	20	-	102	8	2470701	five_prime_UTR:0.87;CDS:0.03;intron:0.1;	ENSG00000125835.17	SNRPB	chr20	protein_coding	small nuclear ribonucleoprotein polypeptides B and B1
chr20	62136740	62136816	chr20_487603	8	-	77	5	62136793	three_prime_UTR:1.0;	ENSG00000101182.14	PSMA7	chr20	protein_coding	proteasome (prosome, macropain) subunit, alpha type, 7
chr20	29299970	29300009	chr20_481776	11	-	40	11	29299982	intergenic;	--
chr20	51010255	51010327	chr20_486359	5	-	73	4	51010270	CDS:1.0;	ENSG00000026559.13	KCNG1	chr20	protein_coding	potassium channel, voltage gated modifier subfamily G, member 1
chr20	46364148	46364189	chr20_485199	5	-	42	5	46364160	intron:1.0;	ENSG00000080189.14	SLC35C2	chr20	protein_coding	solute carrier family 35 (GDP-fucose transporter), member C2
chr20	2465675	2465803	chr20_478821	28	-	129	18	2465767	CDS:0.75;intron:0.25;	ENSG00000125835.17	SNRPB	chr20	protein_coding	small nuclear ribonucleoprotein polypeptides B and B1
chr20	45952597	45952658	chr20_485005	5	-	62	5	45952627	CDS:1.0;	ENSG00000198026.7	ZNF335	chr20	protein_coding	zinc finger protein 335
chr20	37210046	37210099	chr20_473084	12	+	54	12	37210067	CDS:1.0;	ENSG00000118705.16	RPN2	chr20	protein_coding	ribophorin II
chr20	31514479	31514662	chr20_470982	25	+	184	10	31514518	five_prime_UTR:0.39;CDS:0.61;	ENSG00000101294.16	HM13	chr20	protein_coding	histocompatibility (minor) 13
chr20	62318499	62318577	chr20_487720	9	-	79	9	62318543	CDS:1.0;	ENSG00000130702.13	LAMA5	chr20	protein_coding	laminin, alpha 5
chr20	43705218	43705265	chr20_474243	6	+	48	5	43705245	CDS:1.0;	ENSG00000101057.15	MYBL2	chr20	protein_coding	v-myb avian myeloblastosis viral oncogene homolog-like 2
chr20	29299747	29299804	chr20_481775	10	-	58	10	29299777	intergenic;	--
chr20	62325410	62325518	chr20_487754	8	-	109	6	62325494	CDS:1.0;	ENSG00000130702.13	LAMA5	chr20	protein_coding	laminin, alpha 5
chr20	36050217	36050291	chr20_483480	12	-	75	8	36050270	noncoding_exon:1.0;	ENSG00000260032.1	LINC00657	chr20	lincRNA	long intergenic non-protein coding RNA 657
chr20	2103161	2103283	chr20_467661	11	+	123	5	2103212	CDS:1.0;	ENSG00000125834.12	STK35	chr20	protein_coding	serine/threonine kinase 35
chr20	26208027	26208067	chr20_481752	41	-	41	41	26208047	intron:1.0;	ENSG00000227195.8	MIR663AHG	chr20	processed_transcript	MIR663A host gene
chr20	63521738	63521891	chr20_477768	33	+	154	11	63521795	three_prime_UTR:0.08;CDS:0.92;	ENSG00000125534.9	PPDPF	chr20	protein_coding	pancreatic progenitor cell differentiation and proliferation factor
chr20	31569213	31569344	chr20_471183	23	+	132	12	31569308	three_prime_UTR:1.0;	ENSG00000101294.16	HM13	chr20	protein_coding	histocompatibility (minor) 13
